,n_factors,n_epochs,lr_all,reg_all,cv_rmse,cv_rmse_sd,rank_test_rmse,cv_mae,std_test_mae,mean_fit_time
0,150,40,0.01,0.1,0.930595321491664,0.0005636759106386,1,0.7363120853340032,0.000883586746357,1.4231898784637451
1,100,40,0.01,0.1,0.9310612503589444,0.000599023229198,2,0.7364804517224619,0.0008455342127765,1.089409589767456
2,50,40,0.01,0.1,0.9323766054853286,8.781485014572661e-05,3,0.7362048512051015,0.0008764104366121,0.5804121494293213
3,150,40,0.005,0.1,0.9365926089980858,0.0006959580533533,4,0.7417282238330963,0.0013916004731139,1.924377679824829
4,100,40,0.005,0.1,0.9367067555622712,0.0001540916374121,5,0.741875018794794,0.0012147335572144,1.0054854551951091
5,150,20,0.01,0.1,0.9368408980472857,0.0008179099125671,6,0.7420079062710768,0.0015045457372101,0.7089536984761556
6,100,20,0.01,0.1,0.937040172675727,0.0002088967408179,7,0.742217303977038,0.0012894083508988,0.4613115787506103
7,50,40,0.005,0.1,0.938822760944116,0.0004914560987705,8,0.7431666083311564,0.0015565763528767,0.56740403175354
8,50,20,0.01,0.1,0.9392429565310488,0.0006495845998776,9,0.7436428053275135,0.0016654296347751,0.2818233172098796
9,50,20,0.01,0.05,0.9429922954131218,0.0001622587621094,10,0.7431423850142501,0.0013236456453239,0.2814641793568929
