group,attribute,users,ratings,mean_rating,ratings_per_user,share_of_users,share_of_ratings
F,gender,273,25740,3.5315073815073816,94.28571428571429,0.28950159066808057,0.2574
M,gender,670,74260,3.5292889846485322,110.83582089552239,0.7104984093319194,0.7426
<18,age_band,36,2491,3.4235246888799677,69.19444444444444,0.03817603393425239,0.02491
18-24,age_band,198,24060,3.4735245220282627,121.51515151515152,0.20996818663838812,0.2406
25-34,age_band,310,35444,3.488376029793477,114.33548387096774,0.32873806998939553,0.35444
35-44,age_band,194,19591,3.588484508192537,100.98453608247422,0.20572640509013787,0.19591
45-55,age_band,153,13424,3.629246126340882,87.73856209150327,0.16224814422057265,0.13424
56+,age_band,52,4990,3.651703406813627,95.96153846153847,0.05514316012725345,0.0499
administrator,occupation,79,7479,3.6356464768017114,94.67088607594937,0.08377518557794274,0.07479
artist,occupation,28,2308,3.653379549393414,82.42857142857143,0.029692470837751856,0.02308
doctor,occupation,7,540,3.688888888888889,77.14285714285714,0.007423117709437964,0.0054
educator,occupation,95,9442,3.6706206312221985,99.38947368421053,0.1007423117709438,0.09442
engineer,occupation,67,8175,3.541406727828746,122.01492537313433,0.07104984093319194,0.08175
entertainment,occupation,18,2095,3.4410501193317424,116.38888888888889,0.019088016967126194,0.02095
executive,occupation,32,3403,3.3491037320011756,106.34375,0.033934252386002124,0.03403
healthcare,occupation,16,2804,2.896219686162625,175.25,0.016967126193001062,0.02804
homemaker,occupation,7,299,3.301003344481605,42.714285714285715,0.007423117709437964,0.00299
lawyer,occupation,12,1345,3.7353159851301116,112.08333333333333,0.012725344644750796,0.01345
librarian,occupation,51,5273,3.560781338896264,103.3921568627451,0.05408271474019088,0.05273
marketing,occupation,26,1950,3.4856410256410255,75.0,0.027571580063626724,0.0195
none,occupation,9,901,3.779134295227525,100.11111111111111,0.009544008483563097,0.00901
other,occupation,105,10663,3.5523773797242804,101.55238095238096,0.11134676564156946,0.10663
programmer,occupation,66,7801,3.5682604794257147,118.1969696969697,0.06998939554612937,0.07801
retired,occupation,14,1609,3.4667495338719703,114.92857142857143,0.014846235418875928,0.01609
salesman,occupation,12,856,3.582943925233645,71.33333333333333,0.012725344644750796,0.00856
scientist,occupation,31,2058,3.611273080660836,66.38709677419355,0.032873806998939555,0.02058
student,occupation,196,21957,3.5151432345038027,112.02551020408163,0.20784729586426298,0.21957
technician,occupation,27,3506,3.5322304620650313,129.85185185185185,0.02863202545068929,0.03506
writer,occupation,45,5536,3.3757225433526012,123.02222222222223,0.04772004241781548,0.05536
