genre,ratings,mean_rating,movies
unknown,10,3.2,2
Documentary,758,3.6728232189973613,50
Fantasy,1352,3.2152366863905324,22
Film-Noir,1733,3.9215233698788228,24
Western,1854,3.6132686084142396,27
Animation,3605,3.5766990291262135,42
Musical,4954,3.521396851029471,56
Mystery,5245,3.63813155386082,61
Horror,5317,3.2903893172841827,92
Children's,7182,3.3532442216652742,122
Crime,8055,3.6322780881440098,109
War,9398,3.815811874866993,71
Sci-Fi,12730,3.5607227022780834,101
Adventure,13753,3.503526503308369,135
Romance,19461,3.621704948358255,247
Thriller,21872,3.5090069495245064,251
Action,25589,3.480245417953027,251
Comedy,29832,3.3940734781442745,505
Drama,39895,3.6873793708484772,725
