item_id,n,mean
1,452,3.8783185840707963
2,131,3.2061068702290076
3,90,3.033333333333333
4,209,3.550239234449761
5,86,3.302325581395349
6,26,3.576923076923077
7,392,3.798469387755102
8,219,3.9954337899543377
9,299,3.8963210702341136
10,89,3.831460674157303
11,236,3.847457627118644
12,267,4.385767790262173
13,184,3.4184782608695654
14,183,3.9672131147540983
15,293,3.7781569965870307
16,39,3.2051282051282053
17,92,3.119565217391304
18,10,2.8
19,69,3.9565217391304346
20,72,3.4166666666666665
21,84,2.761904761904762
22,297,4.151515151515151
23,182,4.1208791208791204
24,174,3.4482758620689653
25,293,3.4436860068259385
26,73,3.452054794520548
27,57,3.1052631578947367
28,276,3.931159420289855
29,114,2.6666666666666665
30,37,3.945945945945946
31,154,3.6298701298701297
32,81,3.7901234567901234
33,97,3.4536082474226806
34,7,2.7142857142857144
35,11,2.1818181818181817
36,13,2.1538461538461537
37,8,2.25
38,120,3.0083333333333333
39,87,3.264367816091954
40,57,2.8947368421052633
41,37,3.081081081081081
42,148,3.804054054054054
43,40,3.0
44,79,3.3417721518987342
45,80,4.05
46,27,3.5555555555555554
47,133,3.601503759398496
48,117,4.094017094017094
49,81,3.3209876543209877
50,583,4.3584905660377355
51,81,3.45679012345679
52,91,3.769230769230769
53,128,2.953125
54,104,3.2403846153846154
55,149,3.704697986577181
56,394,4.060913705583756
57,40,4.0
58,175,3.645714285714286
59,83,4.0602409638554215
60,64,4.015625
61,59,3.864406779661017
62,127,3.141732283464567
63,82,3.097560975609756
64,283,4.445229681978798
65,115,3.5391304347826087
66,162,3.549382716049383
67,103,3.0485436893203883
68,134,3.417910447761194
69,321,3.853582554517134
70,251,3.6613545816733066
71,220,3.7818181818181817
72,129,3.193798449612403
73,128,3.46875
74,7,3.0
75,5,3.0
76,54,3.4074074074074074
77,151,3.2781456953642385
78,33,2.4545454545454546
79,336,4.044642857142857
80,68,2.764705882352941
81,110,3.5545454545454547
82,261,3.7203065134099615
83,176,4.0625
84,18,3.0
85,58,3.0344827586206895
86,150,3.94
87,138,3.9057971014492754
88,213,3.539906103286385
89,275,4.138181818181818
90,95,3.0526315789473686
91,143,3.5874125874125875
92,104,3.6153846153846154
93,112,3.7232142857142856
94,137,3.0875912408759123
95,219,3.8127853881278537
96,295,4.0067796610169495
97,256,3.79296875
98,390,4.28974358974359
99,172,3.7093023255813953
100,508,4.155511811023622
101,73,3.26027397260274
102,54,3.1296296296296298
103,15,1.8666666666666667
104,5,1.4
105,74,2.5675675675675675
106,71,2.887323943661972
107,42,3.5
108,65,3.076923076923077
109,130,3.4307692307692306
110,31,2.5161290322580645
111,272,3.485294117647059
112,20,2.45
113,9,4.111111111111111
114,67,4.447761194029851
115,15,3.7333333333333334
116,125,3.824
117,378,3.693121693121693
118,293,3.2150170648464163
119,4,4.5
120,67,2.2388059701492535
121,429,3.438228438228438
122,106,2.339622641509434
123,115,3.234782608695652
124,187,4.053475935828877
125,244,3.557377049180328
126,97,3.804123711340206
127,413,4.283292978208232
128,65,3.5384615384615383
