user_id,n_ratings
405,737
655,685
13,636
450,540
276,518
416,493
537,490
303,484
234,480
393,448
181,435
279,434
429,414
846,405
7,403
94,400
682,399
308,397
92,388
293,388
222,387
201,386
59,382
435,379
378,375
880,368
417,365
896,362
592,360
796,358
758,357
561,357
130,353
406,342
551,334
334,333
804,332
268,328
474,327
889,326
269,323
727,322
399,319
642,318
916,317
145,316
650,311
363,311
151,307
524,306
749,305
194,305
387,304
90,300
648,297
291,296
311,294
864,294
747,293
85,288
286,288
327,284
328,283
653,283
385,281
299,280
497,279
271,278
95,278
457,277
18,277
301,275
532,274
374,274
178,273
805,273
1,272
389,271
716,269
870,269
883,268
833,267
437,263
472,263
313,262
533,260
881,259
280,258
339,254
504,251
184,251
788,249
314,245
666,245
894,245
506,242
932,241
886,240
798,239
244,238
343,237
707,236
606,236
454,236
109,234
373,233
354,233
782,232
345,232
62,232
487,231
790,231
207,230
622,228
407,226
892,226
500,225
588,225
774,224
660,224
312,223
305,222
711,221
43,221
535,218
456,217
854,217
919,217
618,216
200,216
102,216
49,215
495,213
87,211
6,211
851,209
868,208
60,208
256,207
452,206
144,206
643,206
843,204
807,204
425,204
409,203
479,202
342,201
64,200
347,199
543,197
840,197
295,196
379,196
246,195
514,194
346,193
297,192
659,191
344,190
455,189
486,189
577,188
326,187
189,187
56,187
823,185
897,185
267,185
128,184
10,184
933,184
458,183
332,183
42,183
815,183
125,182
198,181
627,181
119,181
11,181
21,179
174,177
5,175
766,175
934,174
318,174
158,173
398,172
887,171
621,171
721,168
751,168
943,168
82,168
715,167
664,166
757,166
586,166
862,165
608,163
536,163
712,162
545,162
380,162
773,161
249,161
503,160
262,160
239,159
795,159
254,159
663,158
694,157
593,156
453,156
83,155
567,155
548,155
693,154
488,154
320,154
58,154
401,153
23,151
44,151
848,150
294,150
290,150
521,150
498,149
566,149
699,149
394,149
601,148
639,148
738,148
330,147
654,147
907,147
296,147
847,146
221,146
436,145
825,145
442,143
468,143
116,143
936,142
325,142
665,142
624,141
224,141
806,140
16,140
484,139
447,139
709,138
270,138
882,137
72,137
527,137
903,136
99,136
445,135
493,135
542,135
634,135
899,135
878,134
110,133
541,133
463,133
230,133
913,132
210,132
216,131
70,131
336,130
763,129
496,129
22,128
214,128
381,127
698,127
298,127
922,127
213,126
321,125
901,124
292,124
671,124
236,124
263,123
250,122
645,122
661,121
38,121
391,121
361,121
629,121
193,121
160,120
927,120
264,120
890,119
632,118
197,118
459,118
786,117
826,115
690,115
177,115
871,115
705,114
554,114
478,113
307,112
188,112
505,112
104,111
392,111
620,110
921,110
233,110
764,109
640,109
756,109
489,109
630,108
617,108
938,108
748,108
26,107
159,107
863,107
940,107
141,107
733,107
57,106
625,106
152,106
830,106
697,105
776,105
223,105
708,105
828,104
741,104
637,104
15,104
615,103
918,103
397,102
885,102
360,102
499,102
835,102
426,101
466,101
560,101
669,100
523,100
553,100
91,98
587,98
14,98
911,98
451,98
253,97
422,97
595,96
195,96
275,95
867,95
235,94
717,93
63,93
215,93
232,93
838,93
186,92
115,92
704,90
605,90
875,89
600,89
323,89
619,89
508,87
315,87
710,86
684,86
117,86
724,85
591,84
552,84
731,83
255,83
476,83
924,82
76,82
844,81
538,81
568,81
877,81
243,81
585,80
465,80
65,80
534,80
942,79
28,79
75,79
25,78
676,77
251,77
217,76
89,76
357,76
559,76
610,75
370,75
802,75
683,75
449,75
316,75
338,75
288,75
579,74
923,74
908,74
121,74
501,73
831,73
752,73
518,73
562,72
77,72
658,71
872,71
686,71
860,71
118,71
274,71
383,71
771,70
569,70
331,70
167,69
168,69
84,68
460,68
526,68
402,68
24,68
719,67
746,67
638,67
101,67
73,66
761,66
372,66
865,66
324,66
48,66
778,65
69,65
329,65
148,65
430,65
54,65
768,64
106,64
829,64
423,64
770,64
734,64
206,64
180,63
176,63
164,63
540,63
930,63
97,63
679,62
287,62
582,62
2,62
421,62
821,62
432,62
122,61
931,61
480,60
910,60
745,60
483,59
893,59
546,59
190,59
100,59
8,59
161,58
633,58
411,58
227,58
507,58
365,58
647,58
348,58
81,58
367,58
787,57
839,57
395,57
257,57
753,57
470,57
490,57
37,57
539,56
248,56
187,56
481,56
52,56
96,56
793,55
780,55
428,55
79,55
492,55
135,55
123,54
525,54
277,54
3,54
396,54
834,54
735,53
912,53
183,53
382,53
528,53
218,53
464,53
283,53
557,53
388,52
555,52
41,52
371,51
850,51
573,51
322,51
113,51
412,51
12,51
440,51
138,51
157,51
272,51
154,51
413,50
350,50
836,50
403,50
226,50
852,49
519,49
677,49
939,49
902,49
929,49
114,48
185,48
237,48
45,48
590,48
20,48
904,47
580,47
284,47
869,47
599,47
137,47
603,47
891,47
703,47
792,47
494,47
667,47
668,46
670,46
837,46
574,46
112,46
259,46
265,46
623,45
900,45
368,45
126,45
530,45
340,44
404,44
556,44
434,44
351,44
467,44
424,44
714,44
358,43
173,43
589,43
616,43
203,43
529,43
469,43
861,43
884,43
30,43
644,42
204,42
179,42
352,42
781,42
162,42
611,42
722,42
32,41
906,41
433,41
853,41
760,41
674,41
597,41
349,41
199,40
937,40
550,40
641,40
905,40
692,40
515,40
784,39
935,39
794,39
718,39
614,39
196,39
859,39
74,39
66,38
730,38
755,38
175,38
680,38
695,38
71,38
448,38
646,38
607,37
502,37
779,37
156,37
517,37
767,37
169,37
211,37
