datetime,n_ratings
1997-09-21 00:00:00+00:00,1740
1997-09-28 00:00:00+00:00,4129
1997-10-05 00:00:00+00:00,3540
1997-10-12 00:00:00+00:00,2390
1997-10-19 00:00:00+00:00,2039
1997-10-26 00:00:00+00:00,2367
1997-11-02 00:00:00+00:00,1163
1997-11-09 00:00:00+00:00,3381
1997-11-16 00:00:00+00:00,9064
1997-11-23 00:00:00+00:00,6980
1997-11-30 00:00:00+00:00,4195
1997-12-07 00:00:00+00:00,2706
1997-12-14 00:00:00+00:00,2143
1997-12-21 00:00:00+00:00,3686
1997-12-28 00:00:00+00:00,2044
1998-01-04 00:00:00+00:00,3663
1998-01-11 00:00:00+00:00,4122
1998-01-18 00:00:00+00:00,2654
1998-01-25 00:00:00+00:00,2375
1998-02-01 00:00:00+00:00,3268
1998-02-08 00:00:00+00:00,2119
1998-02-15 00:00:00+00:00,1478
1998-02-22 00:00:00+00:00,3178
1998-03-01 00:00:00+00:00,3753
1998-03-08 00:00:00+00:00,2405
1998-03-15 00:00:00+00:00,1723
1998-03-22 00:00:00+00:00,800
1998-03-29 00:00:00+00:00,3604
1998-04-05 00:00:00+00:00,8700
1998-04-12 00:00:00+00:00,1539
1998-04-19 00:00:00+00:00,2203
1998-04-26 00:00:00+00:00,849
