item_id,users_recommended,share_of_users,train_ratings,train_mean_rating,title
1449,918,0.9734888653234358,7,4.714285714285714,Pather Panchali (1955)
1467,825,0.8748674443266172,2,5.0,"Saint of Fort Washington, The (1993)"
1512,816,0.865323435843054,5,4.6,"World of Apu, The (Apur Sansar) (1959)"
169,670,0.7104984093319194,93,4.526881720430108,"Wrong Trousers, The (1993)"
318,545,0.5779427359490986,245,4.481632653061224,Schindler's List (1993)
867,543,0.5758218451749735,3,4.333333333333333,"Whole Wide World, The (1996)"
408,497,0.5270413573700954,88,4.465909090909091,"Close Shave, A (1995)"
64,471,0.4994697773064687,240,4.470833333333333,"Shawshank Redemption, The (1994)"
1189,412,0.4369034994697773,3,5.0,Prefontaine (1997)
1064,401,0.4252386002120891,2,4.5,Crossfire (1947)
1599,328,0.3478260869565217,1,5.0,Someone Else's America (1995)
178,259,0.2746553552492046,104,4.432692307692308,12 Angry Men (1957)
114,236,0.2502651113467656,60,4.416666666666667,Wallace & Gromit: The Best of Aardman Animation (1996)
483,216,0.2290562036055143,197,4.441624365482234,Casablanca (1942)
119,201,0.2131495227995758,4,4.5,Maya Lin: A Strong Clear Vision (1994)
