popularity_decile (1 = most popular),share_of_catalog,share_of_train_ratings,share_of_recommendations
1,0.10048426150121065,0.4243375,0.2230116648992577
2,0.09987893462469734,0.2168875,0.15546129374337223
3,0.09987893462469734,0.1340375,0.02767762460233298
4,0.09987893462469734,0.089575,0.004559915164369035
5,0.09987893462469734,0.05875,0.004772004241781549
6,0.10048426150121065,0.0356375,0.014634146341463415
7,0.09987893462469734,0.0210875,0.009968186638388122
8,0.09987893462469734,0.0115,0.1855779427359491
9,0.09987893462469734,0.005875,0.20031813361611878
10,0.09987893462469734,0.0023125,0.17401908801696714
