user_id,n_test,n_relevant,precision_at_k,recall_at_k
1,48,27,0.9,0.3333333333333333
2,8,5,0.5,0.2
3,12,2,0.0,0.0
4,6,5,0.8333333333333334,1.0
5,38,16,1.0,0.0625
6,49,30,1.0,0.1
7,82,55,0.9,0.16363636363636364
8,13,10,0.875,0.7
9,8,8,1.0,0.375
10,39,35,1.0,0.2857142857142857
11,26,13,1.0,0.07692307692307693
12,9,9,1.0,0.8888888888888888
13,133,48,0.8,0.08333333333333333
14,16,11,0.7,0.6363636363636364
15,20,8,0.0,0.0
16,28,23,0.9,0.391304347826087
17,4,1,0.0,0.0
18,53,34,0.9,0.2647058823529412
19,4,1,0.0,0.0
20,9,5,0.0,0.0
21,42,11,0.5,0.09090909090909091
22,24,13,1.0,0.23076923076923078
23,25,15,1.0,0.26666666666666666
24,9,8,1.0,0.75
25,14,11,0.8888888888888888,0.7272727272727273
26,19,4,0.0,0.0
27,2,0,0.0,0.0
28,18,12,1.0,0.4166666666666667
29,5,4,1.0,0.5
30,7,6,1.0,0.5
31,7,2,0.3333333333333333,1.0
32,8,5,1.0,0.2
33,3,2,1.0,0.5
34,5,3,0.0,0.0
35,5,1,0.0,0.0
36,4,1,0.0,0.0
37,17,9,1.0,0.5555555555555556
38,32,22,0.7,0.3181818181818182
39,3,2,0.0,0.0
40,5,2,0.0,0.0
41,12,8,1.0,0.625
42,26,16,1.0,0.1875
43,43,25,0.875,0.28
44,26,18,1.0,0.3333333333333333
45,9,6,1.0,0.16666666666666666
46,6,5,1.0,0.8
47,3,2,0.0,0.0
48,16,12,1.0,0.5833333333333334
49,49,12,0.0,0.0
50,9,7,0.0,0.0
51,4,2,1.0,0.5
52,14,13,1.0,0.7692307692307693
53,9,8,1.0,0.375
54,9,7,1.0,0.14285714285714285
55,3,2,1.0,0.5
56,43,29,0.8888888888888888,0.27586206896551724
57,28,16,0.75,0.1875
58,32,26,0.9,0.34615384615384615
59,94,70,1.0,0.14285714285714285
60,46,39,1.0,0.2564102564102564
61,6,1,0.0,0.0
62,60,33,1.0,0.09090909090909091
63,21,9,0.0,0.0
64,35,23,1.0,0.13043478260869565
65,19,14,0.9,0.6428571428571429
66,11,8,1.0,0.125
67,7,4,1.0,0.5
68,6,1,0.0,0.0
69,11,8,1.0,0.375
70,27,16,1.0,0.125
71,11,6,0.6,0.5
72,25,17,0.8,0.47058823529411764
73,12,8,0.75,0.375
74,8,4,0.6666666666666666,0.5
75,20,11,1.0,0.2727272727272727
76,25,14,0.75,0.42857142857142855
77,17,10,0.0,0.0
78,6,3,0.0,0.0
79,13,10,1.0,0.4
80,6,3,0.0,0.0
81,8,2,1.0,0.5
82,41,15,1.0,0.06666666666666667
83,37,24,1.0,0.25
84,17,12,0.7777777777777778,0.5833333333333334
85,62,26,0.8333333333333334,0.19230769230769232
86,5,3,1.0,0.3333333333333333
87,49,33,1.0,0.30303030303030304
88,3,1,0.3333333333333333,1.0
89,12,11,1.0,0.36363636363636365
90,50,40,0.9,0.225
91,17,12,1.0,0.4166666666666667
92,93,38,1.0,0.18421052631578946
93,8,3,0.0,0.0
94,85,58,1.0,0.1724137931034483
95,49,19,0.8,0.21052631578947367
96,9,7,0.75,0.8571428571428571
97,14,12,1.0,0.5
98,5,3,0.0,0.0
99,26,10,0.6666666666666666,0.4
