,split
0,train
1,test
2,train
3,train
4,train
5,train
6,train
7,test
8,train
9,train
10,train
11,train
12,train
13,test
14,train
15,train
16,train
17,train
18,train
19,test
20,train
21,test
22,train
23,train
24,train
25,train
26,test
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,test
38,train
39,test
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,test
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,test
67,train
68,train
69,test
70,test
71,train
72,test
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,test
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,test
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,test
116,train
117,train
118,train
119,train
120,test
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,test
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,test
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,test
151,train
152,train
153,test
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,train
162,train
163,test
164,test
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,test
181,train
182,train
183,train
184,train
185,train
186,test
187,test
188,train
189,train
190,train
191,train
192,train
193,test
194,train
195,test
196,train
197,train
198,test
199,train
200,train
201,train
202,train
203,train
204,test
205,train
206,train
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,test
218,train
219,test
220,train
221,train
222,train
223,test
224,train
225,train
226,train
227,train
228,train
229,train
230,test
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,test
240,train
241,train
242,train
243,train
244,test
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,test
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,test
269,train
270,test
271,train
272,train
273,train
274,test
275,train
276,train
277,train
278,test
279,test
280,train
281,train
282,train
283,train
284,test
285,train
286,test
287,train
288,train
289,train
290,train
291,train
292,test
293,test
294,train
295,train
296,train
297,train
298,train
299,train
300,train
301,train
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,train
310,train
311,test
312,train
313,train
314,train
315,train
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,train
325,train
326,train
327,train
328,train
329,test
330,train
331,train
332,test
333,train
334,train
335,test
336,train
337,test
338,train
339,train
340,train
341,train
342,test
343,train
344,train
345,train
346,train
347,train
348,test
349,test
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,test
360,test
361,train
362,train
363,train
364,train
365,test
366,train
367,train
368,train
369,test
370,train
371,train
372,train
373,train
374,train
375,train
376,train
377,train
378,train
379,train
380,test
381,train
382,train
383,train
384,test
385,train
386,train
387,train
388,test
389,train
390,train
391,test
392,train
393,train
394,test
395,train
396,train
397,test
398,test
399,train
400,train
401,test
402,train
403,test
404,train
405,test
406,train
407,test
408,test
409,test
410,test
411,train
412,train
413,train
414,test
415,train
416,test
417,train
418,test
419,train
420,train
421,train
422,train
423,train
424,train
425,train
426,train
427,train
428,train
429,train
430,test
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,train
439,train
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,train
454,train
455,train
456,train
457,train
458,train
459,train
460,train
461,train
462,train
463,train
464,test
465,train
466,train
467,test
468,train
469,train
470,train
471,train
472,train
473,test
474,test
475,test
476,train
477,test
478,train
479,train
480,train
481,train
482,train
483,test
484,train
485,test
486,train
487,train
488,train
489,train
490,test
491,train
492,train
493,test
494,test
495,train
496,train
497,train
498,train
499,train
500,test
501,train
502,train
503,train
504,train
505,test
506,train
507,train
508,train
509,test
510,train
511,train
512,train
513,train
514,test
515,train
516,train
517,train
518,train
519,train
520,train
521,test
522,train
523,train
524,train
525,test
526,train
527,train
528,train
529,test
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,test
540,train
541,train
542,train
543,train
544,train
545,test
546,train
547,train
548,train
549,train
550,train
551,train
552,train
553,train
554,train
555,train
556,test
557,test
558,train
559,train
560,train
561,train
562,test
563,train
564,train
565,train
566,train
567,train
568,test
569,train
570,test
571,train
572,train
573,test
574,train
575,train
576,test
577,train
578,test
579,test
580,train
581,train
582,train
583,train
584,train
585,train
586,train
587,test
588,train
589,train
590,train
591,test
592,train
593,train
594,test
595,test
596,train
597,train
598,test
599,train
600,train
601,test
602,train
603,train
604,train
605,train
606,train
607,train
608,test
609,train
610,train
611,test
612,train
613,train
614,train
615,train
616,train
617,train
618,train
619,test
620,train
621,train
622,train
623,test
624,train
625,train
626,train
627,train
628,test
629,train
630,train
631,train
632,test
633,train
634,train
635,test
636,train
637,test
638,train
639,train
640,train
641,train
642,train
643,train
644,test
645,train
646,train
647,test
648,train
649,train
650,train
651,test
652,train
653,train
654,train
655,test
656,train
657,train
658,train
659,train
660,train
661,train
662,train
663,train
664,train
665,train
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,train
674,test
675,train
676,train
677,test
678,train
679,train
680,train
681,train
682,train
683,train
684,train
685,train
686,train
687,test
688,train
689,train
690,train
691,train
692,train
693,test
694,train
695,test
696,train
697,test
698,test
699,test
700,train
701,train
702,train
703,train
704,train
705,train
706,test
707,test
708,train
709,train
710,test
711,train
712,test
713,train
714,train
715,test
716,train
717,train
718,train
719,test
720,train
721,test
722,test
723,train
724,train
725,train
726,train
727,train
728,train
729,train
730,train
731,train
732,test
733,train
734,train
735,train
736,train
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,test
745,train
746,test
747,train
748,train
749,train
750,test
751,train
752,train
753,test
754,train
755,train
756,train
757,train
758,train
759,test
760,train
761,test
762,train
763,train
764,train
765,train
766,train
767,train
768,test
769,train
770,train
771,test
772,train
773,train
774,train
775,test
776,train
777,train
778,train
779,train
780,train
781,train
782,test
783,test
784,test
785,train
786,test
787,train
788,train
789,train
790,train
791,train
792,train
793,train
794,test
795,test
796,train
797,train
798,train
799,train
800,train
801,test
802,test
803,train
804,train
805,train
806,train
807,test
808,train
809,train
810,test
811,train
812,train
813,train
814,train
