,split
0,test
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,test
28,train
29,train
30,train
31,test
32,train
33,train
34,train
35,train
36,test
37,train
38,test
39,train
40,train
41,train
42,train
43,train
44,train
45,test
46,train
47,train
48,train
49,train
50,test
51,train
52,train
53,train
54,test
55,train
56,train
57,train
58,test
59,test
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,test
83,train
84,test
85,train
86,train
87,train
88,train
89,train
90,train
91,test
92,test
93,test
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,test
105,train
106,train
107,train
108,train
109,test
110,test
111,train
112,train
113,test
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,test
122,train
123,train
124,train
125,test
126,train
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,test
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,test
148,test
149,train
150,train
151,test
152,train
153,train
154,train
155,test
156,train
157,train
158,train
159,train
160,train
161,train
162,test
163,test
164,train
165,train
166,train
167,train
168,test
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,train
178,test
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,test
190,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,test
201,train
202,train
203,test
204,train
205,train
206,train
207,train
208,train
209,train
210,test
211,test
212,train
213,train
214,train
215,train
216,train
217,train
218,test
219,train
220,train
221,train
222,test
223,train
224,train
225,train
226,test
227,train
228,train
229,train
230,test
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,test
246,train
247,train
248,train
249,test
250,train
251,train
252,test
253,train
254,train
255,test
256,train
257,train
258,train
259,test
260,train
261,train
262,test
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,train
271,test
272,train
273,test
274,train
275,train
276,train
277,train
278,train
279,test
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,test
288,test
289,train
290,train
291,train
292,train
293,test
294,train
295,train
296,test
297,train
298,train
299,train
300,train
301,test
302,test
303,test
304,test
305,train
306,test
307,train
308,train
309,train
310,train
311,train
312,train
313,train
314,train
315,train
316,test
317,train
318,test
319,train
320,train
321,train
322,train
323,train
324,train
325,test
326,test
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,test
335,train
336,train
337,test
338,test
339,train
340,train
341,train
342,train
343,test
344,train
345,test
346,train
347,train
348,train
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,test
357,train
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,test
370,train
371,test
372,train
373,train
374,train
375,train
376,test
377,train
378,train
379,train
380,train
381,train
382,train
383,test
384,train
385,train
386,train
387,train
388,train
389,test
390,train
391,train
392,train
393,test
394,test
395,train
396,train
397,train
398,test
399,test
400,train
401,train
402,train
403,train
404,train
405,train
406,train
407,train
408,test
409,train
410,train
411,train
412,train
413,train
414,train
415,test
416,test
417,train
418,train
419,train
420,train
421,train
422,train
423,train
424,train
425,train
426,train
427,test
428,train
429,test
430,test
431,test
432,train
433,test
434,train
435,train
436,train
437,test
438,train
439,train
440,train
441,train
442,test
443,train
444,test
445,test
446,train
447,train
448,train
449,test
450,train
451,train
452,train
453,train
454,train
455,train
456,train
457,train
458,train
459,train
460,test
461,train
462,train
463,test
464,train
465,test
466,test
467,train
468,test
469,train
470,test
471,train
472,test
473,train
474,train
475,test
476,test
477,test
478,train
479,train
480,train
481,train
482,test
483,train
484,train
485,test
486,train
487,train
488,train
489,train
490,test
491,train
492,test
493,train
494,test
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,train
505,test
506,test
507,train
508,train
509,train
510,train
511,train
512,train
513,train
514,train
515,test
516,train
517,test
518,test
519,train
520,train
521,test
522,train
523,train
524,test
525,train
526,train
527,train
528,test
529,train
530,train
531,train
532,test
533,train
534,train
535,train
536,train
537,train
538,test
539,train
540,train
541,train
542,test
543,train
544,train
545,train
546,train
547,test
548,train
549,test
550,train
551,train
552,train
553,train
554,test
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,test
563,train
564,train
565,train
566,train
567,train
568,train
569,train
570,train
571,train
572,train
573,train
574,test
575,train
576,train
577,train
578,train
579,test
580,train
581,test
582,train
583,train
584,train
585,train
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,train
596,train
597,train
598,train
599,train
600,train
601,train
602,train
603,train
604,train
605,train
606,train
607,train
608,test
609,train
610,train
611,train
612,train
613,train
614,train
615,train
616,train
617,train
618,test
619,test
620,train
621,train
622,train
623,train
624,test
625,test
626,train
627,train
628,train
629,train
630,test
631,test
632,train
633,train
634,train
635,train
636,train
637,train
638,train
639,train
640,test
641,test
642,train
643,train
644,test
645,train
646,train
647,train
648,test
649,train
650,train
651,train
652,train
653,train
654,train
655,train
656,test
657,train
658,train
659,test
660,train
661,train
662,train
663,train
664,test
665,train
666,test
667,train
668,train
669,train
670,test
671,test
672,train
673,train
674,train
675,train
676,train
677,train
678,train
679,train
680,train
681,train
682,test
683,train
684,train
685,train
686,train
687,test
688,train
689,train
690,train
691,train
692,train
693,train
694,train
695,train
696,train
697,test
698,train
699,train
700,train
701,test
702,train
703,test
704,test
705,train
706,train
707,train
708,train
709,train
710,train
711,train
712,train
713,train
714,train
715,train
716,train
717,test
718,train
719,train
720,train
721,train
722,test
723,train
724,train
725,test
726,train
727,train
728,test
729,train
730,train
731,train
732,test
733,train
734,test
735,test
736,test
737,train
738,train
739,test
740,train
741,train
742,train
743,test
744,train
745,train
746,train
747,train
748,train
749,train
750,train
751,train
752,train
753,train
754,train
755,train
756,train
757,train
758,test
759,test
760,train
761,train
762,train
763,train
764,train
765,train
766,train
767,train
768,test
769,train
770,train
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,test
780,train
781,train
782,train
783,test
784,train
785,train
786,train
787,train
788,train
789,train
790,test
791,train
792,train
793,train
794,train
795,train
796,train
797,train
798,train
799,train
800,train
801,train
802,test
803,test
804,train
805,train
806,test
807,train
808,train
809,train
810,test
811,train
812,train
813,train
814,train
815,train
816,train
817,train
818,train
819,train
820,test
821,test
822,test
823,test
824,test
825,train
826,train
827,train
828,train
829,train
830,train
831,train
832,test
833,train
834,train
835,train
836,train
837,train
838,test
839,train
840,train
841,train
842,test
843,train
844,test
845,train
846,train
847,test
848,train
849,test
850,test
851,test
852,train
853,train
854,train
855,train
856,train
857,train
858,train
859,train
860,train
861,train
862,test
863,train
864,train
865,train
866,train
867,train
868,train
869,test
870,train
871,train
