parameter,value,mean_cv_rmse,min_cv_rmse,max_cv_rmse
n_factors,50.0,0.9548129967235083,0.9323766054853286,1.017836150904369
n_factors,100.0,0.9535190481487261,0.9310612503589445,0.9915513025791461
n_factors,150.0,0.9537621514215796,0.9305953214916639,0.9783576664341922
n_epochs,20.0,0.9536918608029583,0.9368408980472855,0.971009643247481
n_epochs,40.0,0.954370936726251,0.9305953214916639,1.017836150904369
lr_all,0.002,0.9562505227125673,0.9495982040883492,0.9643976804819089
lr_all,0.005,0.9503705765703183,0.9365926089980858,0.9712915259522917
lr_all,0.01,0.9554730970109284,0.9305953214916639,1.017836150904369
reg_all,0.02,0.967632507879643,0.9502230598981622,1.017836150904369
reg_all,0.05,0.9502999364404828,0.9429922954131218,0.9628037940639222
reg_all,0.1,0.9441617519736882,0.9305953214916639,0.961193178580437
