parameter,value,mean_cv_rmse,min_cv_rmse,max_cv_rmse
n_factors,100.0,0.9344842492985946,0.9296631074500192,0.9439738310016962
n_factors,150.0,0.9338462929699815,0.9295216295766554,0.9433223752641341
n_factors,200.0,0.9336034553007416,0.9294087585759812,0.9428787118769494
n_epochs,40.0,0.9346584779885935,0.9301529071676463,0.9439738310016962
n_epochs,60.0,0.933682691890406,0.929839110342917,0.9393669082935605
n_epochs,80.0,0.9335928276903181,0.9294087585759812,0.9378072924133637
lr_all,0.01,0.9338814632580893,0.9294087585759812,0.9439738310016962
lr_all,0.015,0.9336236110281496,0.930099901404739,0.940381731285049
lr_all,0.02,0.9344289232830785,0.9309391298956228,0.9394883724164549
reg_all,0.1,0.9323026412294616,0.9301529071676463,0.9352996747975123
reg_all,0.15,0.9308736432691894,0.9294087585759812,0.9330891628800752
reg_all,0.2,0.9387577130706666,0.9367223465335298,0.9439738310016962
