param_n_factors,param_n_epochs,param_lr_all,param_reg_all,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_test_mae,std_test_mae,mean_fit_time
150,40,0.01,0.1,0.9305953214916639,0.0005636759106386717,1,0.7363120853340032,0.0008835867463570513,1.4231898784637451
100,40,0.01,0.1,0.9310612503589445,0.0005990232291980545,2,0.7364804517224619,0.0008455342127765374,1.089409589767456
50,40,0.01,0.1,0.9323766054853286,8.781485014572661e-05,3,0.7362048512051015,0.0008764104366121057,0.5804121494293213
150,40,0.005,0.1,0.9365926089980858,0.000695958053353349,4,0.7417282238330963,0.0013916004731139473,1.924377679824829
100,40,0.005,0.1,0.9367067555622711,0.0001540916374121175,5,0.741875018794794,0.001214733557214427,1.0054854551951091
150,20,0.01,0.1,0.9368408980472855,0.0008179099125671913,6,0.7420079062710768,0.0015045457372101381,0.7089536984761556
100,20,0.01,0.1,0.937040172675727,0.00020889674081795708,7,0.742217303977038,0.001289408350898826,0.46131157875061035
50,40,0.005,0.1,0.9388227609441161,0.0004914560987705509,8,0.7431666083311564,0.001556576352876786,0.56740403175354
50,20,0.01,0.1,0.9392429565310488,0.0006495845998776903,9,0.7436428053275135,0.0016654296347751456,0.2818233172098796
50,20,0.01,0.05,0.9429922954131218,0.00016225876210946218,10,0.7431423850142501,0.0013236456453239187,0.2814641793568929
50,40,0.005,0.05,0.9432954110130428,0.000180157660765795,11,0.7433152316584967,0.0012265313920065614,0.5788062413533529
100,20,0.01,0.05,0.9436445762369626,0.00046145503539045326,12,0.7451287095273504,0.001273877841668356,0.46972473462422687
100,40,0.005,0.05,0.9438034503909577,0.0004722901463341065,13,0.7452896628260071,0.00123704232050807,0.9955269495646158
150,20,0.01,0.05,0.9449735778880354,0.0010826942567283395,14,0.7465323817955637,0.0015629023333367357,0.6966044902801514
150,40,0.005,0.05,0.9451056086358225,0.001065268970667864,15,0.7466569696769612,0.0015237963935972173,1.9334187507629395
150,40,0.01,0.05,0.9471657378074968,0.0006559607217636481,16,0.7481376871141183,0.0010559554118849896,1.5814607938130696
50,20,0.005,0.05,0.9475103153970473,0.00016731371631343895,17,0.7497213501153724,0.0011024703792522292,0.28449567159016925
100,20,0.005,0.1,0.9480291782851191,0.00015200481878175034,18,0.7521175920313627,0.0009093009411424031,0.4735877513885498
100,20,0.005,0.05,0.9481163411788001,0.0001404118716668388,19,0.750558902217438,0.0013071196978849888,0.48271965980529785
50,20,0.005,0.1,0.9481508998940166,0.0002409285440636326,20,0.7520212245802909,0.0007829831204421198,0.288884957631429
150,20,0.005,0.1,0.9483347060502667,0.00044411668312182553,21,0.7524456968957834,0.0012334564104678138,0.7345124085744222
50,40,0.002,0.05,0.9495982040883492,0.00038647351039043627,22,0.7518271179053957,0.0007553361567665541,0.5847014586130778
150,20,0.005,0.05,0.9497821809083463,0.0009200238933392451,23,0.7518934214626843,0.001721637741433549,0.6840909322102865
50,40,0.002,0.1,0.9499642313236422,0.0005110874510755679,24,0.7537633625968102,0.0005090022396293419,0.5995399157206217
50,20,0.005,0.02,0.9502230598981622,0.00022915532821602677,25,0.7505191241374399,0.001411840979439691,0.2879633108774821
