param_n_factors,param_n_epochs,param_lr_all,param_reg_all,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_test_mae,std_test_mae,mean_fit_time
200,80,0.01,0.15,0.9294087585759812,0.0003191619328351488,1,0.736850394189581,0.0007815711614857868,5.555819749832153
150,80,0.01,0.15,0.9295216295766554,7.799304946593547e-05,2,0.7368440472108649,0.0006516010104684132,3.983319123586019
100,80,0.01,0.15,0.9296631074500192,0.0001733292173051218,3,0.7369739182869649,0.0007743454557124485,2.5060861905415854
200,60,0.01,0.15,0.929839110342917,0.0003036404554429494,4,0.7373390334222153,0.000833924761894407,4.779825448989868
150,60,0.01,0.15,0.9300150745668834,0.00013452515057224432,5,0.7373526457564562,0.0007304683052167623,2.614550749460856
200,60,0.015,0.15,0.930099901404739,0.000251390674197812,6,0.7373833871564114,0.0008756568487742337,5.557120323181152
100,60,0.01,0.15,0.9301521476185585,0.00026158048367659273,7,0.7375023423238681,0.0007978206276691306,1.6727801163991292
200,40,0.01,0.1,0.9301529071676463,0.0002403636399226916,8,0.7361585463046801,0.0005177198870296453,2.7900050481160483
200,60,0.01,0.1,0.9301608776362263,0.00023265868613869527,9,0.7359515096125561,0.0004928972388155161,4.351668119430542
150,60,0.015,0.15,0.930210385157383,0.0001952047101712853,10,0.7373755209889223,0.0007805898473872028,2.955880880355835
100,60,0.015,0.15,0.9303515100755485,1.614184440845383e-05,11,0.7375172974300409,0.000901624967889912,1.9304188092549641
200,80,0.015,0.15,0.9303888432071622,0.0003232395077271823,12,0.7375015373332158,0.0009094152062919399,4.977360248565674
150,80,0.015,0.15,0.9304416317381529,0.00022773650354774644,13,0.7374761276039073,0.000779044087401175,3.8091633319854736
200,40,0.015,0.15,0.9305061521678,0.0001762043909383539,14,0.7379234484291488,0.0009230925910437579,2.5985132853190103
150,40,0.01,0.1,0.9305953214916639,0.0005636759106386717,15,0.7363120853340032,0.0008835867463570513,1.7463055451711018
100,80,0.015,0.15,0.9306038548924151,0.00014390269087897776,16,0.7376202670721851,0.0009175820202164282,2.728264649709066
200,40,0.015,0.1,0.9306090477005641,0.00016779696657513005,17,0.7363314595696552,0.0005277306024276781,2.552277406056722
150,60,0.01,0.1,0.9306822888119775,0.0003897567745043126,18,0.7362691511495859,0.0006220030671173502,2.722804307937622
150,40,0.015,0.15,0.9307251713517544,0.0002576443729632138,19,0.7379571696277778,0.0008873427050584014,1.7672714392344158
200,80,0.01,0.1,0.9307266614577818,0.0002341261327687063,20,0.7362822831552528,0.0005204629419945761,6.113967498143514
100,40,0.015,0.15,0.930868880520241,0.00017872941854523623,21,0.7381253145356034,0.0009280133236575319,1.0207202434539795
200,40,0.02,0.15,0.9309391298956228,0.00019565646102321908,22,0.7381258329037864,0.0009857374206722527,3.42428191502889
100,40,0.01,0.1,0.9310612503589445,0.0005990232291980545,23,0.7364804517224619,0.0008455342127765374,0.8436861832936605
150,40,0.02,0.15,0.9311090416342207,0.0003489254954280103,24,0.7381429580764735,0.0009432102280752044,1.584837277730306
150,80,0.01,0.1,0.9311485645899124,0.0002481717518004684,25,0.7365658539354653,0.00045803013785534726,4.183034737904866
150,40,0.015,0.1,0.9311516053346852,0.00045517530555980016,26,0.7366611213700022,0.0007210081042858182,1.9296725591023762
100,40,0.02,0.15,0.9312292409727626,0.00013439245124567513,27,0.7382769655867231,0.00102857985652943,1.0671698252360027
200,60,0.02,0.15,0.9312551405505168,0.00033664005146673157,28,0.7382022460176136,0.001022846981161201,4.342508474985759
150,60,0.02,0.15,0.9313244602072747,0.0003544791543830352,29,0.7381874534852558,0.0009135510888211366,3.17391300201416
100,60,0.02,0.15,0.9314664467286297,0.00023708891938226893,30,0.7383128657747414,0.0010341895310283006,1.9549683729807537
200,60,0.015,0.1,0.931522149122128,0.00018285521131355807,31,0.7369085559744365,0.0005736920336249468,4.136936187744141
200,80,0.02,0.15,0.9316524435707324,0.0004326829509304161,32,0.7384298044974908,0.0010570967490480536,4.717126131057739
150,80,0.02,0.15,0.9316822883748301,0.00041476229080565034,33,0.7384122693888796,0.0009286104632499093,4.363567749659221
100,80,0.02,0.15,0.9318169218751279,0.00036047099943304283,34,0.7384964495609633,0.0010501513764415234,2.66453218460083
200,40,0.02,0.1,0.9318533400926293,0.00010829421026868707,35,0.7372326057569304,0.0006055350105491317,2.8848561445871987
150,60,0.015,0.1,0.9318975705880854,0.00024035820839618722,36,0.7371460295075357,0.0004897737213216648,2.802173693974813
100,60,0.01,0.1,0.9320571521984098,0.0006206162507354025,37,0.7370026319471821,0.0006855802580536136,1.565497875213623
150,40,0.02,0.1,0.9323036969197517,0.0003638728408788585,38,0.7375089901570336,0.0006505897079412807,1.6976465384165447
200,80,0.015,0.1,0.9323185685614394,0.00018995549002415467,39,0.7374204041298092,0.0005830635550909621,5.820095141728719
200,40,0.01,0.15,0.9324783202805905,0.0002648871811949963,40,0.739744311329154,0.0009863865650661973,2.8340259393056235
100,40,0.015,0.1,0.9325378777182092,0.0006138316295168932,41,0.7373961567576396,0.0007120490178359346,1.0099735260009766
150,80,0.015,0.1,0.9325574942787243,0.00012578047535551488,42,0.7375722233676022,0.0003806396672024584,3.7183636824289956
150,40,0.01,0.15,0.9327496126515221,0.000209344312338555,43,0.739805936233254,0.0009360001691513109,1.8959002494812012
100,80,0.01,0.1,0.9328477628118187,0.000594498526512761,44,0.7375745965290722,0.000525123447006904,2.5108042558034263
200,60,0.02,0.1,0.932984377399027,0.00013414679726057003,45,0.7379764774146116,0.0006256463196097214,4.286403179168701
100,40,0.01,0.15,0.9330891628800752,0.00017641567459360068,46,0.7401497463521137,0.0009641239902484659,0.9326558113098145
150,60,0.02,0.1,0.9332321920361287,0.00016968357651084078,47,0.7381246690527713,0.0004631198769475938,2.7867538928985596
100,60,0.015,0.1,0.9336469555689447,0.0005657220863912335,48,0.7382147861207146,0.0005264236354063088,1.7741529941558838
200,80,0.02,0.1,0.9337859811481756,0.0001294569383239712,49,0.7384846993350331,0.0006089754883345212,5.0892252922058105
150,80,0.02,0.1,0.9339307384068668,9.125400127635312e-05,50,0.7385959244748102,0.0003932742833640453,3.4667489528656006
